Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
C_ao_1011.tif:0001-0192-0224:t:1/61 - 001_1008.nd2 (series 1),1076.26,21158.339,239.892,22771870.01,1347447687,C_AO_123_11.mat,001_1008.nd2:0001-0137-0168:t:1/61 - 001_1008.nd2 (series 1),395.325,495.629,80.08,195934.443,11593754
cActinOnly_001.nd2:0001-0676-0318:t:1/61 - cActinOnly_001.nd2 (series 1),729.1,2445.379,161.88,1782925.698,105498562,C_AO_518_01.mat,cActinOnly_001.nd2:0001-0898-0849:t:1/61 - cActinOnly_001.nd2 (series 1),411.329,498.198,82.16,204923.536,12125653
cActinOnly_002.nd2:0001-0642-0469:t:1/61 - cActinOnly_002.nd2 (series 1),568.026,2073.156,138.293,1177606.044,69680831,C_AO_518_02.mat,cActinOnly_002.nd2:0001-0103-0885:t:1/61 - cActinOnly_002.nd2 (series 1),411.329,494.115,82.16,203244.064,12026276
cActinOnly_002.nd2:0001-0263-0418:t:1/61 - cActinOnly_002.nd2 (series 1),339.775,2868.047,98.312,974489.068,57662075,C_AO_518_11.mat,cActinOnly_002.nd2:0001-0103-0885:t:1/61 - cActinOnly_002.nd2 (series 1),411.329,494.115,82.16,203244.064,12026276
cActinOnly_003.nd2:0001-0221-0596:t:1/61 - cActinOnly_003.nd2 (series 1),441.783,2058.79,144.99,909538.193,53818828,C_AO_518_03.mat,cActinOnly_003.nd2:0001-0898-0849:t:1/61 - cActinOnly_003.nd2 (series 1),411.329,488.83,82.16,201070.167,11897643
cActinOnly_004.nd2:0001-0446-0481:t:1/61 - cActinOnly_004.nd2 (series 1),768.967,1464.609,238.074,1126235.976,66641182,C_AO_518_04.mat,cActinOnly_004.nd2:0001-0118-0146:t:1/61 - cActinOnly_004.nd2 (series 1),411.329,506.158,82.16,208197.691,12319390
cActinOnly_005.nd2:0001-0384-0523:t:1/61 - cActinOnly_005.nd2 (series 1),692.68,2032.266,154.747,1407710.478,83296478,C_AO_518_05.mat,cActinOnly_005.nd2:0001-0118-0146:t:1/61 - cActinOnly_005.nd2 (series 1),411.329,513.971,82.16,211411.395,12509550
cActinOnly_006.nd2:0001-0171-0474:t:1/61 - cActinOnly_006.nd2 (series 1),754.653,3284.425,153.594,2478599.63,146662700,C_AO_518_06.mat,cActinOnly_006.nd2:0001-0118-0146:t:1/61 - cActinOnly_006.nd2 (series 1),411.329,513.973,82.16,211411.919,12509581
cActinOnly_007.nd2:0001-0362-0535:t:1/61 - cActinOnly_007.nd2 (series 1),1134.936,1014.359,298.906,1151233.374,68120318,C_AO_518_07.mat,cActinOnly_007.nd2:0001-0118-0146:t:1/61 - cActinOnly_007.nd2 (series 1),411.329,509.363,82.16,209515.976,12397395
cActinOnly_008.nd2:0001-0475-0566:t:1/61 - cActinOnly_008.nd2 (series 1),753.875,1335.107,198.993,1006503.971,59556448,C_AO_518_08.mat,cActinOnly_008.nd2:0001-0118-0146:t:1/61 - cActinOnly_008.nd2 (series 1),411.329,506.814,82.16,208467.483,12335354
cActinOnly_009.nd2:0001-0353-0469:t:1/61 - cActinOnly_009.nd2 (series 1),785.968,1723.882,212.051,1354916.619,80172581,C_AO_518_09.mat,cActinOnly_009.nd2:0001-0118-0146:t:1/61 - cActinOnly_009.nd2 (series 1),411.329,510.146,82.16,209837.802,12416438
cActinOnly_010.nd2:0001-0629-0324:t:1/61 - cActinOnly_010.nd2 (series 1),487.464,1653.904,134.432,806218.235,47705221,C_AO_518_10.mat,cActinOnly_010.nd2:0001-0118-0146:t:1/61 - cActinOnly_010.nd2 (series 1),411.329,508.251,82.16,209058.526,12370327
cActinOnly_010.nd2:0001-0244-0424:t:1/61 - cActinOnly_010.nd2 (series 1),390.982,2112.859,118.758,826088.799,48880994,C_AO_518_12.mat,cActinOnly_010.nd2:0001-0118-0146:t:1/61 - cActinOnly_010.nd2 (series 1),411.329,508.251,82.16,209058.526,12370327
