 ,Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
,Dimer_002.nd2 - C=1:0001-0652-0581:c:2/2 t:1/61 - Dimer_002.nd2 (series 1),646.307,596.818,140.486,385727.679,22824123,R_D_518_02.mat,Dimer_002.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_002.nd2 (series 1),411.329,478.93,82.16,196997.993,11656686
,Dimer_003.nd2 - C=1:0001-0582-0341:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),1234.308,578.13,206.35,713591.329,42224339,R_D_518_03.mat,Dimer_003.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),411.329,482.554,82.16,198488.438,11744878
,Dimer_004.nd2 - C=1:0001-0572-0527:c:2/2 t:1/61 - Dimer_004.nd2 (series 1),698.95,793.981,135.482,554953.361,32837477,R_D_518_04.mat,Dimer_004.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_004.nd2 (series 1),411.329,519.751,82.16,213788.769,12650223
,Dimer_005.nd2 - C=1:0001-0644-0518:c:2/2 t:1/61 - Dimer_005.nd2 (series 1),505.023,723.368,169.087,365317.194,21616402,R_D_518_05.mat,Dimer_005.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_005.nd2 (series 1),411.329,509.814,82.16,209701.47,12408371
,Dimer_006.nd2 - C=1:0001-0601-0344:c:2/2 t:1/61 - Dimer_006.nd2 (series 1),1325.264,564.253,434.413,747784.457,44247601,R_D_518_06.mat,Dimer_006.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_006.nd2 (series 1),411.329,480.297,82.16,197560.155,11689950
,Dimer_007.nd2 - C=1:0001-0511-0522:c:2/2 t:1/61 - Dimer_007.nd2 (series 1),500.02,570.288,160.149,285155.61,16873113,R_D_518_07.mat,Dimer_007.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_007.nd2 (series 1),411.329,474.546,82.16,195194.628,11549978
,Dimer_008.nd2 - C=1:0001-0526-0442:c:2/2 t:1/61 - Dimer_008.nd2 (series 1),1724.307,700.675,238.78,1208178.093,71489828,R_D_518_08.mat,Dimer_008.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_008.nd2 (series 1),411.329,482.285,82.16,198377.997,11738343
,Dimer_009.nd2 - C=1:0001-0639-0512:c:2/2 t:1/61 - Dimer_009.nd2 (series 1),489.83,606.473,185.171,297068.301,17578006,R_D_518_09.mat,Dimer_009.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_009.nd2 (series 1),411.329,477.511,82.16,196414.082,11622135
,Dimer_010.nd2 - C=1:0001-0363-0415:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),69.374,915.782,43.926,63531.916,3759285,R_D_518_10.mat,Dimer_010.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),411.329,480.045,82.16,197456.643,11683825
,Dimer_003.nd2 - C=1:0001-0634-0774:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),682.659,553.15,167.509,377612.789,22343952,R_D_518_11.mat,Dimer_003.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),411.329,482.554,82.16,198488.438,11744878
,Dimer_010.nd2 - C=1:0001-0592-0506:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),320.424,886.904,111.657,284185.296,16815698,R_D_518_12.mat,Dimer_010.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),411.329,480.045,82.16,197456.643,11683825
