 ,Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
1,Tetramer_001.nd2 - C=1:0001-0493-0458:c:2/2 t:1/61 - Tetramer_001.nd2 (series 1),428.466,1566.879,205.176,671354.072,39725093,R_Te_518_01.mat,Tetramer_001.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Tetramer_001.nd2 (series 1),411.329,753.491,82.16,309932.7,18339213
2,Tetramer_002.nd2 - C=1:0001-0394-0158:c:2/2 t:1/61 - Tetramer_002.nd2 (series 1),359.159,1615.558,185.187,580241.845,34333837,R_Te_518_02.mat,Tetramer_002.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_002.nd2 (series 1),411.329,847.15,82.16,348457.416,20618782
3,Tetramer_003.nd2 - C=1:0001-0604-0472:c:2/2 t:1/61 - Tetramer_003.nd2 (series 1),362.894,1329.708,120.237,482542.506,28552811,R_Te_518_03.mat,Tetramer_003.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_003.nd2 (series 1),411.329,670.06,82.16,275615.323,16308599
4,Tetramer_004.nd2 - C=1:0001-0567-0474:c:2/2 t:1/61 - Tetramer_004.nd2 (series 1),572.116,1146.44,214.764,655896.352,38810435,R_Te_518_04.mat,Tetramer_004.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_004.nd2 (series 1),411.329,765.545,82.16,314890.94,18632600
5,Tetramer_005.nd2 - C=1:0001-0508-0472:c:2/2 t:1/61 - Tetramer_005.nd2 (series 1),2394.088,913.404,480.403,2186769.534,129394647,R_Te_518_05.mat,Tetramer_005.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_005.nd2 (series 1),411.329,735.864,82.16,302682.211,17910190
6,Tetramer_006.nd2 - C=1:0001-0537-0520:c:2/2 t:1/61 - Tetramer_006.nd2 (series 1),499.057,1268.111,251.309,632859.911,37447332,R_Te_518_06.mat,Tetramer_006.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_006.nd2 (series 1),411.329,778.454,82.16,320200.886,18946798
7,Tetramer_007.nd2 - C=1:0001-0537-0523:c:2/2 t:1/61 - Tetramer_007.nd2 (series 1),728.965,1621.081,231.64,1181710.919,69923723,R_Te_518_07.mat,Tetramer_007.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_007.nd2 (series 1),411.329,1028.18,82.16,422920.151,25024861
8,Tetramer_008.nd2 - C=1:0001-0502-0493:c:2/2 t:1/61 - Tetramer_008.nd2 (series 1),812.755,1584.792,236.919,1288047.409,76215823,R_Te_518_08.mat,Tetramer_008.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_008.nd2 (series 1),411.329,978.22,82.16,402370.292,23808893
9,Tetramer_009.nd2 - C=1:0001-0474-0506:c:2/2 t:1/61 - Tetramer_009.nd2 (series 1),3717.628,1429.677,644.188,5315008.646,314497553,R_Te_518_09.mat,Tetramer_009.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_009.nd2 (series 1),411.329,1029.835,82.16,423601.272,25065164
10,Tetramer_010.nd2 - C=1:0001-0585-0462:c:2/2 t:1/61 - Tetramer_010.nd2 (series 1),976.482,884.875,296.074,864064.484,51128076,R_Te_518_10.mat,Tetramer_010.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_010.nd2 (series 1),411.329,568.25,82.16,233737.799,13830639
11,Tetramer_002.nd2 - C=1:0001-0547-0469:c:2/2 t:1/61 - Tetramer_002.nd2 (series 1),1277.217,1526.083,400.859,1949139.783,115333715,R_Te_518_11.mat,Tetramer_002.nd2 - C=1:0001-0081-0884:c:2/2 t:1/61 - Tetramer_002.nd2 (series 1),411.329,847.15,82.16,348457.416,20618782
