 ,Label,Area,IntDen,RawIntDen
1,180913_sedimentation_GABFAB-700.tif:0428-0685,0.138,173.836,605635
2,180913_sedimentation_GABFAB-700.tif:0413-0687,0.138,87.827,305986
3,180913_sedimentation_GABFAB-700.tif:0428-0720,0.138,233.770,814444
4,180913_sedimentation_GABFAB-700.tif:0415-0720,0.138,88.904,309738
5,180913_sedimentation_GABFAB-700.tif:0428-0755,0.138,261.395,910686
6,180913_sedimentation_GABFAB-700.tif:0440-0754,0.138,89.545,311972
7,180913_sedimentation_GABFAB-700.tif:0427-0790,0.138,260.553,907753
8,180913_sedimentation_GABFAB-700.tif:0409-0790,0.138,82.332,286839
9,180913_sedimentation_GABFAB-700.tif:0426-0824,0.138,245.218,854326
10,180913_sedimentation_GABFAB-700.tif:0411-0825,0.138,85.991,299590
11,180913_sedimentation_GABFAB-700.tif:0426-0859,0.138,269.605,939291
12,180913_sedimentation_GABFAB-700.tif:0440-0860,0.138,102.703,357811
13,180913_sedimentation_GABFAB-700.tif:0426-0894,0.138,251.585,876510
14,180913_sedimentation_GABFAB-700.tif:0440-0894,0.138,92.211,321257
15,180913_sedimentation_GABFAB-700.tif:0428-0931,0.138,263.904,919430
16,180913_sedimentation_GABFAB-700.tif:0449-0933,0.138,88.445,308138
17,180913_sedimentation_GABFAB-700.tif:0299-0685,0.083,76.389,266136
18,180913_sedimentation_GABFAB-700.tif:0320-0686,0.083,45.299,157818
19,180913_sedimentation_GABFAB-700.tif:0299-0721,0.083,82.956,289015
20,180913_sedimentation_GABFAB-700.tif:0318-0721,0.083,45.536,158644
21,180913_sedimentation_GABFAB-700.tif:0300-0756,0.083,82.200,286382
22,180913_sedimentation_GABFAB-700.tif:0326-0756,0.083,47.216,164499
23,180913_sedimentation_GABFAB-700.tif:0300-0790,0.083,86.918,302817
24,180913_sedimentation_GABFAB-700.tif:0332-0788,0.083,48.889,170326
25,180913_sedimentation_GABFAB-700.tif:0299-0824,0.083,70.118,244288
26,180913_sedimentation_GABFAB-700.tif:0337-0824,0.083,46.151,160787
27,180913_sedimentation_GABFAB-700.tif:0299-0858,0.083,79.235,276052
28,180913_sedimentation_GABFAB-700.tif:0328-0858,0.083,47.694,166164
29,180913_sedimentation_GABFAB-700.tif:0299-0893,0.083,88.531,308439
30,180913_sedimentation_GABFAB-700.tif:0323-0893,0.083,45.413,158217
31,180913_sedimentation_GABFAB-700.tif:0300-0928,0.083,83.574,291166
32,180913_sedimentation_GABFAB-700.tif:0327-0928,0.083,45.443,158320
