 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 700.tif:0185-0116,0.033,11743
2,180921 GABFAB sedimentation 700.tif:0172-0116,0.018,6628
3,180921 GABFAB sedimentation 700.tif:0181-0154,0.032,11389
4,180921 GABFAB sedimentation 700.tif:0167-0154,0.018,6392
5,180921 GABFAB sedimentation 700.tif:0179-0189,0.028,10161
6,180921 GABFAB sedimentation 700.tif:0162-0191,0.017,6054
7,180921 GABFAB sedimentation 700.tif:0177-0226,0.030,10978
8,180921 GABFAB sedimentation 700.tif:0201-0225,0.018,6635
9,180921 GABFAB sedimentation 700.tif:0177-0267,0.030,10714
10,180921 GABFAB sedimentation 700.tif:0188-0267,0.019,6758
11,180921 GABFAB sedimentation 700.tif:0177-0306,0.030,10843
12,180921 GABFAB sedimentation 700.tif:0191-0306,0.017,6265
13,180921 GABFAB sedimentation 700.tif:0056-0115,0.013,4841
14,180921 GABFAB sedimentation 700.tif:0081-0115,0.013,4846
15,180921 GABFAB sedimentation 700.tif:0054-0152,0.013,4765
16,180921 GABFAB sedimentation 700.tif:0073-0153,0.013,4714
17,180921 GABFAB sedimentation 700.tif:0055-0187,0.021,7467
18,180921 GABFAB sedimentation 700.tif:0132-0190,0.013,4816
19,180921 GABFAB sedimentation 700.tif:0055-0223,0.019,6928
20,180921 GABFAB sedimentation 700.tif:0079-0224,0.013,4677
21,180921 GABFAB sedimentation 700.tif:0055-0263,0.019,6933
22,180921 GABFAB sedimentation 700.tif:0075-0263,0.013,4647
23,180921 GABFAB sedimentation 700.tif:0057-0302,0.020,7137
24,180921 GABFAB sedimentation 700.tif:0125-0306,0.012,4306
