 ,Label,Area,IntDen,RawIntDen
1,180911_sedimentation_GABFAB-700.tif:0245-0150,0.107,108.228,377344.000
2,180911_sedimentation_GABFAB-700.tif:0226-0150,0.107,43.584,151958.000
3,180911_sedimentation_GABFAB-700.tif:0243-0186,0.107,90.057,313988.000
4,180911_sedimentation_GABFAB-700.tif:0226-0186,0.107,46.775,163084.000
5,180911_sedimentation_GABFAB-700.tif:0239-0221,0.107,93.327,325390.000
6,180911_sedimentation_GABFAB-700.tif:0225-0222,0.107,49.682,173221.000
7,180911_sedimentation_GABFAB-700.tif:0237-0256,0.107,110.148,384039.000
8,180911_sedimentation_GABFAB-700.tif:0220-0257,0.107,49.529,172687.000
9,180911_sedimentation_GABFAB-700.tif:0236-0291,0.107,144.870,505098.000
10,180911_sedimentation_GABFAB-700.tif:0217-0291,0.107,52.636,183519.000
11,180911_sedimentation_GABFAB-700.tif:0236-0328,0.107,188.859,658469.000
12,180911_sedimentation_GABFAB-700.tif:0221-0326,0.107,52.118,181712.000
13,180911_sedimentation_GABFAB-700.tif:0237-0363,0.107,158.656,553164.000
14,180911_sedimentation_GABFAB-700.tif:0204-0363,0.107,52.456,182892.000
15,180911_sedimentation_GABFAB-700.tif:0239-0398,0.107,154.034,537051.000
16,180911_sedimentation_GABFAB-700.tif:0205-0398,0.107,51.784,180549.000
17,180911_sedimentation_GABFAB-700.tif:0104-0151,0.107,45.680,159266.000
18,180911_sedimentation_GABFAB-700.tif:0142-0152,0.107,47.853,166844.000
19,180911_sedimentation_GABFAB-700.tif:0099-0183,0.107,48.511,169137.000
20,180911_sedimentation_GABFAB-700.tif:0141-0191,0.107,43.270,150864.000
21,180911_sedimentation_GABFAB-700.tif:0100-0219,0.107,103.951,362432.000
22,180911_sedimentation_GABFAB-700.tif:0136-0219,0.107,43.054,150112.000
23,180911_sedimentation_GABFAB-700.tif:0101-0254,0.107,101.457,353737.000
24,180911_sedimentation_GABFAB-700.tif:0130-0254,0.107,49.009,170872.000
25,180911_sedimentation_GABFAB-700.tif:0102-0287,0.107,103.709,361587.000
26,180911_sedimentation_GABFAB-700.tif:0129-0287,0.107,49.223,171619.000
27,180911_sedimentation_GABFAB-700.tif:0102-0323,0.107,109.066,380267.000
28,180911_sedimentation_GABFAB-700.tif:0131-0323,0.107,48.946,170653.000
29,180911_sedimentation_GABFAB-700.tif:0102-0358,0.107,124.509,434108.000
30,180911_sedimentation_GABFAB-700.tif:0129-0360,0.107,48.543,169248.000
31,180911_sedimentation_GABFAB-700.tif:0101-0395,0.107,90.396,315172.000
32,180911_sedimentation_GABFAB-700.tif:0134-0397,0.107,46.265,161305.000
