 ,Label,Area,IntDen,RawIntDen
1,180913_sedimentation_GABFAB-700.tif:0423-0169,0.149,102.265,356286
2,180913_sedimentation_GABFAB-700.tif:0438-0169,0.149,70.420,245340
3,180913_sedimentation_GABFAB-700.tif:0421-0205,0.149,102.226,356150
4,180913_sedimentation_GABFAB-700.tif:0439-0205,0.149,72.050,251020
5,180913_sedimentation_GABFAB-700.tif:0422-0238,0.149,100.953,351715
6,180913_sedimentation_GABFAB-700.tif:0439-0237,0.149,74.187,258464
7,180913_sedimentation_GABFAB-700.tif:0423-0273,0.149,102.495,357087
8,180913_sedimentation_GABFAB-700.tif:0442-0272,0.149,75.764,263959
9,180913_sedimentation_GABFAB-700.tif:0425-0306,0.149,105.307,366886
10,180913_sedimentation_GABFAB-700.tif:0445-0306,0.149,76.602,266876
11,180913_sedimentation_GABFAB-700.tif:0426-0342,0.149,101.323,353003
12,180913_sedimentation_GABFAB-700.tif:0444-0342,0.149,76.320,265896
13,180913_sedimentation_GABFAB-700.tif:0427-0376,0.149,97.341,339130
14,180913_sedimentation_GABFAB-700.tif:0450-0376,0.149,74.077,258080
15,180913_sedimentation_GABFAB-700.tif:0430-0411,0.149,103.437,360371
16,180913_sedimentation_GABFAB-700.tif:0407-0412,0.149,79.414,276676
17,180913_sedimentation_GABFAB-700.tif:0294-0173,0.156,1076.762,3751385
18,180913_sedimentation_GABFAB-700.tif:0363-0173,0.156,75.029,261398
19,180913_sedimentation_GABFAB-700.tif:0295-0207,0.156,1161.462,4046475
20,180913_sedimentation_GABFAB-700.tif:0369-0207,0.156,76.068,265017
21,180913_sedimentation_GABFAB-700.tif:0296-0242,0.156,1067.788,3720121
22,180913_sedimentation_GABFAB-700.tif:0374-0239,0.156,79.736,277797
23,180913_sedimentation_GABFAB-700.tif:0295-0276,0.156,596.678,2078795
24,180913_sedimentation_GABFAB-700.tif:0373-0274,0.156,73.553,256254
25,180913_sedimentation_GABFAB-700.tif:0297-0310,0.156,1171.356,4080944
26,180913_sedimentation_GABFAB-700.tif:0374-0309,0.156,75.170,261887
27,180913_sedimentation_GABFAB-700.tif:0298-0344,0.156,1142.562,3980629
28,180913_sedimentation_GABFAB-700.tif:0366-0345,0.156,79.440,276766
29,180913_sedimentation_GABFAB-700.tif:0298-0379,0.156,896.511,3123401
30,180913_sedimentation_GABFAB-700.tif:0371-0376,0.156,78.176,272360
31,180913_sedimentation_GABFAB-700.tif:0300-0412,0.156,836.468,2914214
32,180913_sedimentation_GABFAB-700.tif:0367-0409,0.156,81.798,284980
