 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 700.tif:0521-0079,0.023,8300.000
2,180921 GABFAB sedimentation 700.tif:0494-0080,0.014,5050.000
3,180921 GABFAB sedimentation 700.tif:0519-0115,0.023,8374.000
4,180921 GABFAB sedimentation 700.tif:0493-0115,0.015,5220.000
5,180921 GABFAB sedimentation 700.tif:0517-0150,0.023,8398.000
6,180921 GABFAB sedimentation 700.tif:0493-0150,0.013,4768.000
7,180921 GABFAB sedimentation 700.tif:0516-0187,0.023,8103.000
8,180921 GABFAB sedimentation 700.tif:0493-0187,0.014,5156.000
9,180921 GABFAB sedimentation 700.tif:0516-0223,0.024,8664.000
10,180921 GABFAB sedimentation 700.tif:0498-0224,0.015,5451.000
11,180921 GABFAB sedimentation 700.tif:0516-0263,0.024,8738.000
12,180921 GABFAB sedimentation 700.tif:0474-0265,0.013,4832.000
13,180921 GABFAB sedimentation 700.tif:0390-0086,0.010,3749.000
14,180921 GABFAB sedimentation 700.tif:0397-0085,0.010,3609.000
15,180921 GABFAB sedimentation 700.tif:0390-0118,0.010,3671.000
16,180921 GABFAB sedimentation 700.tif:0402-0116,0.010,3576.000
17,180921 GABFAB sedimentation 700.tif:0391-0154,0.014,4903.000
18,180921 GABFAB sedimentation 700.tif:0417-0155,0.009,3325.000
19,180921 GABFAB sedimentation 700.tif:0390-0187,0.015,5491.000
20,180921 GABFAB sedimentation 700.tif:0426-0187,0.010,3655.000
21,180921 GABFAB sedimentation 700.tif:0390-0223,0.018,6396.000
22,180921 GABFAB sedimentation 700.tif:0414-0224,0.009,3391.000
23,180921 GABFAB sedimentation 700.tif:0390-0260,0.016,5734.000
24,180921 GABFAB sedimentation 700.tif:0420-0261,0.011,3790.000
