 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 700.tif:0515-0297,0.013,4665.000
2,180921 GABFAB sedimentation 700.tif:0486-0298,0.011,3913.000
3,180921 GABFAB sedimentation 700.tif:0515-0330,0.013,4728.000
4,180921 GABFAB sedimentation 700.tif:0490-0330,0.011,3867.000
5,180921 GABFAB sedimentation 700.tif:0516-0364,0.014,4870.000
6,180921 GABFAB sedimentation 700.tif:0466-0365,0.011,3973.000
7,180921 GABFAB sedimentation 700.tif:0517-0399,0.013,4706.000
8,180921 GABFAB sedimentation 700.tif:0477-0397,0.011,4019.000
9,180921 GABFAB sedimentation 700.tif:0518-0433,0.013,4764.000
10,180921 GABFAB sedimentation 700.tif:0507-0433,0.011,3915.000
11,180921 GABFAB sedimentation 700.tif:0518-0465,0.013,4522.000
12,180921 GABFAB sedimentation 700.tif:0499-0465,0.010,3638.000
13,180921 GABFAB sedimentation 700.tif:0395-0293,0.019,6760.000
14,180921 GABFAB sedimentation 700.tif:0420-0292,0.020,7126.000
15,180921 GABFAB sedimentation 700.tif:0394-0326,0.021,7672.000
16,180921 GABFAB sedimentation 700.tif:0410-0326,0.019,6947.000
17,180921 GABFAB sedimentation 700.tif:0396-0361,0.079,28348.000
18,180921 GABFAB sedimentation 700.tif:0465-0362,0.020,7182.000
19,180921 GABFAB sedimentation 700.tif:0396-0396,0.076,27376.000
20,180921 GABFAB sedimentation 700.tif:0465-0398,0.022,7851.000
21,180921 GABFAB sedimentation 700.tif:0396-0431,0.075,26999.000
22,180921 GABFAB sedimentation 700.tif:0464-0432,0.021,7553.000
23,180921 GABFAB sedimentation 700.tif:0396-0466,0.070,25367.000
24,180921 GABFAB sedimentation 700.tif:0436-0467,0.021,7564.000
