 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 1 700.tif:0200-0349,0.025,8955.667
2,180921 GABFAB sedimentation 1 700.tif:0183-0349,0.023,8418.667
3,180921 GABFAB sedimentation 1 700.tif:0199-0387,0.025,8950.667
4,180921 GABFAB sedimentation 1 700.tif:0183-0384,0.023,8399.000
5,180921 GABFAB sedimentation 1 700.tif:0199-0420,0.026,9518.333
6,180921 GABFAB sedimentation 1 700.tif:0185-0420,0.023,8433.000
7,180921 GABFAB sedimentation 1 700.tif:0200-0456,0.026,9437.333
8,180921 GABFAB sedimentation 1 700.tif:0187-0455,0.024,8661.000
9,180921 GABFAB sedimentation 1 700.tif:0201-0524,0.025,9145.667
10,180921 GABFAB sedimentation 1 700.tif:0173-0522,0.023,8312.667
11,180921 GABFAB sedimentation 1 700.tif:0078-0344,0.022,7863.000
12,180921 GABFAB sedimentation 1 700.tif:0113-0345,0.022,7907.000
13,180921 GABFAB sedimentation 1 700.tif:0076-0377,0.022,7859.667
14,180921 GABFAB sedimentation 1 700.tif:0111-0378,0.021,7712.000
15,180921 GABFAB sedimentation 1 700.tif:0077-0413,0.055,19976.667
16,180921 GABFAB sedimentation 1 700.tif:0116-0413,0.023,8187.000
17,180921 GABFAB sedimentation 1 700.tif:0076-0448,0.054,19393.333
18,180921 GABFAB sedimentation 1 700.tif:0114-0449,0.022,7944.000
19,180921 GABFAB sedimentation 1 700.tif:0075-0517,0.051,18442.333
20,180921 GABFAB sedimentation 1 700.tif:0131-0516,0.022,7744.000
